Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison
NM_001002254	0.254209863496393	-0.6646303718876234	5.677291214829594	-0.1170682191097665	0.9068059940039688	0.9994446795893159	2_vs_3
NM_001551	4098.676481713689	-0.09099812508183437	0.31534218519897234	-0.2885694631196173	0.7729108666710226	0.9994446795893159	2_vs_3
NM_198512	9.126048963446769	1.2386308316205563	1.4972519854575856	0.8272694534060075	0.40808435338912663	0.9994446795893159	2_vs_3
NM_001013579	0.7329204661517629	0.5306522851960399	4.823254600405105	0.11001954679138658	0.9123938729204221	0.9994446795893159	2_vs_3
NM_016484	1384.27810114701	0.2316374063146358	0.2936229370865619	0.7888941123368289	0.43017389715489585	0.9994446795893159	2_vs_3
NM_002565	1.8823713204227621	-0.25679079947072636	3.1146251752473	-0.08244677449842332	0.9342914419571756	0.9994446795893159	2_vs_3
NM_004312	12.905404802943721	-0.14578664738158736	1.2046578023620491	-0.12101913680028818	0.9036758776233113	0.9994446795893159	2_vs_3
NM_001032726	5.8819043034766345	-0.4463221279787046	1.5225876276766308	-0.29313395161351924	0.7694197663907307	0.9994446795893159	2_vs_3
NR_046586	0.9878437300115946	2.799987059738747	4.763553799135875	0.5877937308583928	0.5566707524974777	0.9994446795893159	2_vs_3
NM_020730	1.2893637210341713	0.5219525985140832	3.7561203551739255	0.13896056280388128	0.8894813129464013	0.9994446795893159	2_vs_3
NR_109801	2.7129266244310326	-0.7540896931829962	2.1642069658500382	-0.34843695870224295	0.72751205040922	0.9994446795893159	2_vs_3
NM_001166278	3.6045092955899634	0.21379363977254692	1.8839377230921521	0.11348232860990877	0.9096481722993177	0.9994446795893159	2_vs_3
NM_021120	0.254209863496393	-0.6646303718876234	5.677291214829594	-0.1170682191097665	0.9068059940039688	0.9994446795893159	2_vs_3
NM_000206	13561.518839356766	-0.2006785746562702	0.28262950235307044	-0.7100411421507429	0.47767862345865153	0.9994446795893159	2_vs_3
NM_181303	0.25216590144850065	0.7046971646667128	5.362822215601732	0.13140416302009422	0.8954555956067698	0.9994446795893159	2_vs_3
NM_005938	7.630754945495191	0.2798364045997329	1.4094745247780605	0.19853952638398817	0.842622962623963	0.9994446795893159	2_vs_3
NM_005120	3652.31199685665	-0.0007982164116315155	0.3275729046938946	-0.0024367595738036415	0.9980557490817683	0.9994446795893159	2_vs_3
NM_001025265	0.25216590144850065	0.7046971646667128	5.362822215601732	0.13140416302009422	0.8954555956067698	0.9994446795893159	2_vs_3
NM_201599	10.77318562571976	-0.222356533246691	1.2123031397833457	-0.18341661087047006	0.8544711433605391	0.9994446795893159	2_vs_3
NM_001145408	21.654966411739213	0.11692295497071455	0.8818976414081842	0.1325810949942172	0.894524684423736	0.9994446795893159	2_vs_3
NM_001171163	6.731230705281479	-0.7236567070589339	1.506727919575274	-0.48028359842361107	0.6310257498307728	0.9994446795893159	2_vs_3
NM_001171162	13.284192522154262	0.26004626388740415	1.0753755017399316	0.2418190329486357	0.8089203903668735	0.9994446795893159	2_vs_3
NR_104396	0.34443803138655377	-2.725299641657205	5.282318797476696	-0.5159286567404924	0.6059042384570295	0.9994446795893159	2_vs_3
NR_002226	1.166042614944341	-3.6108441088474845	4.579039093565664	-0.788559353843766	0.43036959523646856	0.9994446795893159	2_vs_3
NM_052957	104.23875139734612	0.2786922211204538	0.46333854343088277	0.6014872388056076	0.5475155088445283	0.9994446795893159	2_vs_3
NM_001142797	25.803089753605118	-0.791198221132243	1.2552656318621267	-0.6303034202876551	0.528496085643007	0.9994446795893159	2_vs_3
NR_002309	58.69103834247434	-0.4157911282604719	0.7936922832943488	-0.5238694353114575	0.600369354789121	0.9994446795893159	2_vs_3
NM_207422	205.75640323421484	-0.6368699722846645	0.5243387884198419	-1.2146154096361035	0.22451280882014601	0.9994446795893159	2_vs_3
NM_001024455	47.549554966982384	1.1666201903730604	0.9336804849238575	1.249485460187378	0.21148756823642723	0.9994446795893159	2_vs_3
NM_001007	86198.73156293179	0.051992645741911765	0.4064281483579224	0.12792579931280806	0.8982076938882694	0.9994446795893159	2_vs_3
NM_001166420	0.6097862733710953	-0.35388553929028704	4.996298482385658	-0.07082954321842518	0.9435334187782937	0.9994446795893159	2_vs_3
NR_027291	9.534261850065663	0.7290141621978492	3.298258880411811	0.22103000056406322	0.8250690735421834	0.9994446795893159	2_vs_3
NM_021963	227.55259870514888	0.15496811295708154	0.4661773662394652	0.3324230736622202	0.7395698179744283	0.9994446795893159	2_vs_3
NR_001564	1842.6429419595977	-0.4167579337891191	3.4953694584178714	-0.11923143997995525	0.9050919988057984	0.9994446795893159	2_vs_3
NR_030398	2.9184122636610383	-0.4895652252567791	3.133156446890882	-0.15625304179833988	0.875833568826468	0.9994446795893159	2_vs_3
NM_001307944	0.254209863496393	-0.6646303718876234	5.677291214829594	-0.1170682191097665	0.9068059940039688	0.9994446795893159	2_vs_3
NR_030737	33.091637332404765	-0.08224634637443076	0.7654534360172911	-0.10744787664990359	0.91443367424532	0.9994446795893159	2_vs_3
NM_001300888	1.155413438149856	3.3855622603886752	4.484418356269538	0.7549612884925013	0.4502722099694678	0.9994446795893159	2_vs_3
NM_016500	46.08108252580977	0.05145232885321743	0.7525617749857314	0.06836957518097829	0.9454914406296107	0.9994446795893159	2_vs_3
NM_020932	115.75138130132224	-0.07875005211203924	0.7393934666046604	-0.10650628612349558	0.9151806681740754	0.9994446795893159	2_vs_3
NM_003868	0.6263697131300022	-3.507625698825358	5.226748693505886	-0.6710913235953934	0.5021623538867048	0.9994446795893159	2_vs_3
NM_001866	5389.255141629098	-0.19284300815139313	0.31362207100074885	-0.6148897860920404	0.5386275085731136	0.9994446795893159	2_vs_3
NM_001029891	7198.728728316216	-0.5833656365934254	0.33232880211518884	-1.755386932701742	0.0791931456847705	0.9994446795893159	2_vs_3
NM_015975	1376.6935568085228	0.21292475320035345	0.4262333082293357	0.4995497749457648	0.6173921303878915	0.9994446795893159	2_vs_3
NM_001282188	0.3131848565650011	-2.433305851681789	5.311707532033247	-0.4581023780031717	0.6468788905594687	0.9994446795893159	2_vs_3
NM_005296	1.4721212392551941	-3.7092493961320496	4.771395379627603	-0.777393005821611	0.4369269376590861	0.9994446795893159	2_vs_3
NM_152694	5.973337371259831	-2.172166342278447	1.7736367007350389	-1.224696321055066	0.22068966079341268	0.9994446795893159	2_vs_3
NM_014499	87.01779083181049	-0.051514651530215595	0.48441904414968595	-0.10634315919730339	0.9153100896225412	0.9994446795893159	2_vs_3
NM_032553	390.9784874572005	0.5151135222681318	0.3355306726813568	1.5352203664471515	0.12472970722432869	0.9994446795893159	2_vs_3
